badgeHolder,badgeId,badgeSlug,badgeName,badgeDescription,badgeNumHolders,badgeType
Arbitrum,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
Arbitrum,29,hot-link,Hot Link,Posted an external link with 300 clicks,3,Silver
Arbitrum,4,leader,Leader,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> global edit, pin, close, archive, split and merge, more likes",6,Gold
Arbitrum,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
Arbitrum,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
Arbitrum,10,editor,Editor,First post edit,678,Bronze
Arbitrum,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
Arbitrum,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
Arbitrum,15,first-quote,First Quote,Quoted a post,242,Bronze
Arbitrum,12,first-share,First Share,Shared a post,542,Bronze
Arbitrum,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
Arbitrum,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
Arbitrum,30,famous-link,Famous Link,Posted an external link with 1000 clicks,1,Gold
Arbitrum,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
Arbitrum,14,first-link,First Link,Added a link to another topic,147,Bronze
Arbitrum,3,regular,Regular,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> recategorize, rename, followed links, wiki, more likes",7,Silver
Arbitrum,17,reader,Reader,Read every reply in a topic with more than 100 replies,66,Bronze
Arbitrum,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
Arbitrum,20,great-topic,Great Topic,Received 50 likes on a topic,10,Gold
Arbitrum,13,first-flag,First Flag,Flagged a post,100,Bronze
Arbitrum,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
Arbitrum,5,welcome,Welcome,Received a like,2073,Bronze
Arbitrum,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
Arbitrum,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
Arbitrum,16,read-guidelines,Read Guidelines,"Read the <a href=""/guidelines"">community guidelines</a>",210,Bronze
Arbitrum,11,first-like,First Like,Liked a post,3383,Bronze
DisruptionJoe,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
DisruptionJoe,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
DisruptionJoe,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
DisruptionJoe,32,gives-back,Gives Back,Has 100 liked posts and gave 100 likes,2,Silver
DisruptionJoe,7,good-reply,Good Reply,Received 25 likes on a reply,37,Silver
DisruptionJoe,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
DisruptionJoe,10,editor,Editor,First post edit,678,Bronze
DisruptionJoe,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
DisruptionJoe,15,first-quote,First Quote,Quoted a post,242,Bronze
DisruptionJoe,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
DisruptionJoe,12,first-share,First Share,Shared a post,542,Bronze
DisruptionJoe,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
DisruptionJoe,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
DisruptionJoe,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
DisruptionJoe,14,first-link,First Link,Added a link to another topic,147,Bronze
DisruptionJoe,17,reader,Reader,Read every reply in a topic with more than 100 replies,66,Bronze
DisruptionJoe,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
DisruptionJoe,37,respected,Respected,Received 2 likes on 100 posts,2,Silver
DisruptionJoe,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
DisruptionJoe,5,welcome,Welcome,Received a like,2073,Bronze
DisruptionJoe,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
DisruptionJoe,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
DisruptionJoe,11,first-like,First Like,Liked a post,3383,Bronze
Matt_StableLab,11,first-like,First Like,Liked a post,3383,Bronze
Matt_StableLab,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
Matt_StableLab,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
Matt_StableLab,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
Matt_StableLab,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
Matt_StableLab,14,first-link,First Link,Added a link to another topic,147,Bronze
Matt_StableLab,3,regular,Regular,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> recategorize, rename, followed links, wiki, more likes",7,Silver
Matt_StableLab,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
Matt_StableLab,37,respected,Respected,Received 2 likes on 100 posts,2,Silver
Matt_StableLab,32,gives-back,Gives Back,Has 100 liked posts and gave 100 likes,2,Silver
Matt_StableLab,13,first-flag,First Flag,Flagged a post,100,Bronze
Matt_StableLab,10,editor,Editor,First post edit,678,Bronze
Matt_StableLab,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
Matt_StableLab,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
Matt_StableLab,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
Matt_StableLab,5,welcome,Welcome,Received a like,2073,Bronze
Matt_StableLab,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
Matt_StableLab,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
